#Tässä on muutama kartta MK_A_RK - nimellä
#nämä ovat 1:50.0000 mittakaavassa olevia rannikkokarttoja
#Eli dataa on vähemmän kuin veneilykartoissa, mutta mittakaava on sama
#Alla on mutama osa-poiminta rannikkokartoista, siten, 
#että rannikkokartta täyttää veneilykartan eteläpuolelle jäävän alueen.

mapData;mapScale;fileName;x_min;x_max;y_min;y_max;zoomLevel

#OK 631
liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_631;18570;18603;9541;9562;15

#OK 632
#liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_632;18552;18575;9541;9572;15

#OK 633
#liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_633;18532;18552;9551;9572;15

#OK 635
#liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_635;18497;18531;9555;9572;15

#OK 636
liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_636;18472;18496;9568;9578;15

#OK 637
#liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_637;18436;18471;9566;9572;15

#OK 644 
#liikennevirasto:Rannikkokartat%20public;50000;MK_B_RK_644;18407;18441;9566;9578;15
