#SARJA D - Osa karttalehdistä ei ole kovin tarkasti paperikartan muotoisia.
#Samoin molemmilta reunoilta puuttuu karttalehtiä, jotka olisivat olleet päällekäisiä
#karttasarjojen B ja C kassa.
#Ohjeet:
#Etsi ensin haluamasi karttalehden kulmatiilet ja tiilen x ja y arvot
#Kartta-alan määrittelevät indeksit (neljä kpl) ovat järjestyksessä:
#vasen reuna (x), oikea reuna (x), yläreuna (y), alareuna (y) 
#Tiilien numeroinnissa x-arvot kasvavat vasemmalta oikealle, ja y arvot kasvavat ylhäältä alaspäin
#Tiilien mumerointia voi etsiä sivustolla: https://openlayers.org/en/latest/examples/canvas-tiles.html
#mapData kenttään tulee aineiston nimi (löytyy get capabilities kyselyllä)
#aineiston nimessä olevat välilyönnit tulee korvata merkeillä %20
#MUSTA päivittää mittakaava. esim 1:50000 merkitään 50000
#Poista risuaita/kommenttimerkki niiden rivien kohdalta mitkä haluat mukaan poimintaan

#Esim:
#MK_A_EK_626-1;18647;18660;9485;9492;15
#Tiilet:       vas-x;oik-x;ylä-y;ala-y

mapData;mapScale;fileName;x_min;x_max;y_min;y_max;zoomLevel
liikennevirasto:Merikarttasarja%20D;50000;MK_D_713;18322;18354;9550;9573;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_712;18354;18387;9545;9568;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_715;18330;18363;9527;9550;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_711;18360;18393;9523;9547;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_710;18372;18405;9504;9527;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_716;18342;18374;9507;9531;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_729;18315;18347;9505;9529;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_728;18313;18346;9485;9508;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_717;18341;18374;9486;9509;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_709;18369;18402;9484;9509;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_708;18372;18404;9465;9488;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_718;18350;18371;9465;9488;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_728;18315;18346;9485;9504;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_727;18321;18350;9465;9486;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_726;18317;18350;9446;9471;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_725;18316;18349;9425;9449;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_724;18306;18340;9405;9430;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_723;18306;18339;9387;9411;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_735;18305;18337;9365;9389;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_722;18338;18362;9392;9425;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_721;18361;18385;9399;9431;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_720;18346;18379;9425;9448;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_719;18348;18381;9445;9469;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_707;18379;18412;9446;9470;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_706;18379;18411;9426;9450;15
#liikennevirasto:Merikarttasarja%20D;50000;MK_D_705;18411;18444;9439;9463;15



